Dia,Nivel
01/01/2023,"0,32"
02/01/2023,"0,32"
03/01/2023,"0,38"
04/01/2023,"0,39"
05/01/2023,"0,42"
06/01/2023,"0,48"
07/01/2023,"0,54"
08/01/2023,"0,58"
09/01/2023,"0,61"
10/01/2023,"0,63"
11/01/2023,"0,66"
12/01/2023,"0,69"
13/01/2023,"0,73"
14/01/2023,"0,82"
15/01/2023,"0,86"
16/01/2023,"0,91"
17/01/2023,"0,97"
18/01/2023,"1,01"
19/01/2023,"1,06"
20/01/2023,"1,10"
21/01/2023,"1,12"
22/01/2023,"1,14"
23/01/2023,"1,16"
24/01/2023,"1,18"
25/01/2023,"1,19"
26/01/2023,"1,20"
27/01/2023,"1,21"
28/01/2023,"1,23"
29/01/2023,"1,25"
30/01/2023,"1,27"
31/01/2023,"1,28"
01/02/2023,"1,31"
02/02/2023,"1,34"
03/02/2023,"1,39"
04/02/2023,"1,41"
05/02/2023,"1,40"
06/02/2023,"1,48"
07/02/2023,"1,53"
08/02/2023,"1,53"
09/02/2023,"1,55"
10/02/2023,"1,57"
11/02/2023,"1,58"
12/02/2023,"1,59"
13/02/2023,"1,60"
14/02/2023,"1,62"
15/02/2023,"1,63"
16/02/2023,"1,63"
17/02/2023,"1,68"
18/02/2023,"1,72"
19/02/2023,"1,74"
20/02/2023,"1,75"
21/02/2023,"1,77"
22/02/2023,"1,80"
23/02/2023,"1,82"
24/02/2023,"1,83"
25/02/2023,"1,84"
26/02/2023,"1,90"
27/02/2023,"1,91"
28/02/2023,"1,93"
01/03/2023,"1,93"
02/03/2023,"1,93"
03/03/2023,"1,95"
04/03/2023,"1,95"
05/03/2023,"1,96"
06/03/2023,"1,98"
07/03/2023,"1,98"
08/03/2023,"1,99"
09/03/2023,"2,00"
10/03/2023,"2,00"
11/03/2023,"2,02"
12/03/2023,"2,03"
13/03/2023,"2,06"
14/03/2023,"2,07"
15/03/2023,"2,08"
16/03/2023,"2,08"
17/03/2023,"2,11"
18/03/2023,"2,12"
19/03/2023,"2,16"
20/03/2023,"2,19"
21/03/2023,"2,24"
22/03/2023,"2,27"
23/03/2023,"2,27"
24/03/2023,"2,32"
25/03/2023,"2,34"
26/03/2023,"2,36"
27/03/2023,"2,39"
28/03/2023,"2,40"
29/03/2023,"2,42"
30/03/2023,"2,43"
31/03/2023,"2,45"
01/04/2023,"2,47"
02/04/2023,"2,50"
03/04/2023,"2,52"
04/04/2023,"2,54"
05/04/2023,"2,57"
06/04/2023,"2,63"
07/04/2023,"2,65"
08/04/2023,"2,68"
09/04/2023,"2,70"
10/04/2023,"2,73"
11/04/2023,"2,74"
12/04/2023,"2,78"
13/04/2023,"2,78"
14/04/2023,"2,87"
15/04/2023,"2,88"
16/04/2023,"2,89"
17/04/2023,"2,92"
18/04/2023,"2,95"
19/04/2023,"2,97"
20/04/2023,"3,00"
21/04/2023,"3,03"
22/04/2023,"3,05"
23/04/2023,"3,07"
24/04/2023,"3,09"
25/04/2023,"3,10"
26/04/2023,"3,13"
27/04/2023,"3,14"
28/04/2023,"3,16"
29/04/2023,"3,17"
30/04/2023,"3,20"
01/05/2023,"3,20"
02/05/2023,"3,23"
03/05/2023,"3,24"
04/05/2023,"3,26"
05/05/2023,"3,27"
06/05/2023,"3,28"
07/05/2023,"3,29"
08/05/2023,"3,30"
09/05/2023,"3,31"
10/05/2023,"3,32"
11/05/2023,"3,33"
12/05/2023,"3,34"
13/05/2023,"3,35"
14/05/2023,"3,36"
15/05/2023,"3,38"
16/05/2023,"3,37"
17/05/2023,"3,38"
18/05/2023,"3,38"
19/05/2023,"3,39"
20/05/2023,"3,40"
21/05/2023,"3,40"
22/05/2023,"3,40"
23/05/2023,"3,41"
24/05/2023,"3,41"
25/05/2023,"3,42"
26/05/2023,"3,45"
27/05/2023,"3,44"
28/05/2023,"3,47"
29/05/2023,"3,48"
30/05/2023,"3,49"
31/05/2023,"3,52"
01/06/2023,"3,53"
02/06/2023,"3,54"
03/06/2023,"3,55"
04/06/2023,"3,56"
05/06/2023,"3,57"
06/06/2023,"3,59"
07/06/2023,"3,60"
08/06/2023,"3,61"
09/06/2023,"3,63"
10/06/2023,"3,64"
11/06/2023,"3,66"
12/06/2023,"3,69"
13/06/2023,"3,72"
14/06/2023,"3,77"
15/06/2023,"3,78"
16/06/2023,"3,80"
17/06/2023,"3,84"
18/06/2023,"3,86"
19/06/2023,"3,88"
20/06/2023,"3,90"
21/06/2023,"3,92"
22/06/2023,"3,94"
23/06/2023,"3,96"
24/06/2023,"3,98"
25/06/2023,"3,99"
26/06/2023,"4,02"
27/06/2023,"4,03"
28/06/2023,"4,04"
29/06/2023,"4,06"
30/06/2023,"4,08"
01/07/2023,"4,06"
02/07/2023,"4,09"
03/07/2023,"4,10"
04/07/2023,"4,12"
05/07/2023,"4,13"
06/07/2023,"4,14"
07/07/2023,"4,15"
08/07/2023,"4,16"
09/07/2023,"4,16"
10/07/2023,"4,18"
11/07/2023,"4,18"
12/07/2023,"4,19"
13/07/2023,"4,20"
14/07/2023,"4,22"
15/07/2023,"4,22"
16/07/2023,"4,22"
17/07/2023,"4,23"
18/07/2023,"4,24"
19/07/2023,"4,23"
20/07/2023,"4,23"
21/07/2023,"4,23"
22/07/2023,"4,23"
23/07/2023,"4,24"
24/07/2023,"4,23"
25/07/2023,"4,22"
26/07/2023,"4,23"
27/07/2023,"4,23"
28/07/2023,"4,23"
29/07/2023,"4,20"
30/07/2023,"4,20"
31/07/2023,"4,20"
01/08/2023,"4,19"
02/08/2023,"4,18"
03/08/2023,"4,18"
04/08/2023,"4,17"
05/08/2023,"4,15"
06/08/2023,"4,14"
07/08/2023,"4,14"
08/08/2023,"4,13"
09/08/2023,"4,12"
10/08/2023,"4,10"
11/08/2023,"4,10"
12/08/2023,"4,08"
13/08/2023,"4,07"
14/08/2023,"4,06"
15/08/2023,"4,05"
16/08/2023,"4,03"
17/08/2023,"4,03"
18/08/2023,"4,00"
19/08/2023,"4,00"
20/08/2023,"4,00"
21/08/2023,"3,98"
22/08/2023,"3,96"
23/08/2023,"3,96"
24/08/2023,"3,93"
25/08/2023,"3,91"
26/08/2023,"3,88"
27/08/2023,"3,88"
28/08/2023,"3,86"
29/08/2023,"3,83"
30/08/2023,"3,82"
31/08/2023,"3,81"
01/09/2023,"3,78"
02/09/2023,"3,75"
03/09/2023,"3,73"
04/09/2023,"3,70"
05/09/2023,"3,68"
06/09/2023,"3,65"
07/09/2023,"3,64"
08/09/2023,"3,60"
09/09/2023,"3,58"
10/09/2023,"3,56"
11/09/2023,"3,53"
12/09/2023,"3,49"
13/09/2023,"3,46"
14/09/2023,"3,46"
15/09/2023,"3,43"
16/09/2023,"3,40"
17/09/2023,"3,36"
18/09/2023,"3,34"
19/09/2023,"3,30"
20/09/2023,"3,26"
21/09/2023,"3,22"
22/09/2023,"3,18"
23/09/2023,"3,14"
24/09/2023,"3,12"
25/09/2023,"3,06"
26/09/2023,"3,01"
27/09/2023,"2,96"
28/09/2023,"2,92"
29/09/2023,"2,87"
30/09/2023,"2,81"
01/10/2023,"2,76"
02/10/2023,"2,70"
03/10/2023,"2,65"
04/10/2023,"2,59"
05/10/2023,"2,54"
06/10/2023,"2,49"
07/10/2023,"2,41"
08/10/2023,"2,35"
09/10/2023,"2,29"
10/10/2023,"2,23"
11/10/2023,"2,18"
12/10/2023,"2,12"
13/10/2023,"2,04"
14/10/2023,"1,98"
15/10/2023,"1,93"
16/10/2023,"1,85"
17/10/2023,"1,79"
18/10/2023,"1,73"
19/10/2023,"1,67"
20/10/2023,"1,62"
21/10/2023,"1,56"
22/10/2023,"1,50"
23/10/2023,"1,44"
24/10/2023,"1,37"
25/10/2023,"1,36"
26/10/2023,"1,30"
27/10/2023,"1,24"
28/10/2023,"1,20"
29/10/2023,"1,14"
30/10/2023,"1,11"
31/10/2023,"1,06"
01/11/2023,"1,02"
02/11/2023,"0,98"
03/11/2023,"0,96"
04/11/2023,"0,90"
05/11/2023,"0,88"
06/11/2023,"0,84"
07/11/2023,"0,82"
08/11/2023,"0,80"
09/11/2023,"0,78"
10/11/2023,"0,77"
11/11/2023,"0,75"
12/11/2023,"0,73"
13/11/2023,"0,70"
14/11/2023,"0,67"
15/11/2023,"0,64"
16/11/2023,"0,60"
17/11/2023,"0,57"
18/11/2023,"0,54"
19/11/2023,"0,51"
20/11/2023,"0,49"
21/11/2023,"0,45"
22/11/2023,"0,42"
23/11/2023,"0,39"
24/11/2023,"0,45"
25/11/2023,"0,41"
26/11/2023,"0,39"
27/11/2023,"0,41"
28/11/2023,"0,41"
29/11/2023,"0,42"
30/11/2023,"0,40"
01/12/2023,"0,41"
02/12/2023,"0,40"
03/12/2023,"0,40"
04/12/2023,"0,40"
05/12/2023,"0,42"
06/12/2023,"0,43"
07/12/2023,"0,44"
08/12/2023,"0,44"
09/12/2023,"0,44"
10/12/2023,"0,45"
11/12/2023,"0,45"
12/12/2023,"0,44"
13/12/2023,"0,44"
14/12/2023,"0,44"
15/12/2023,"0,44"
16/12/2023,"0,43"
17/12/2023,"0,43"
18/12/2023,"0,43"
19/12/2023,"0,43"
20/12/2023,"0,43"
21/12/2023,"0,43"
22/12/2023,"0,43"
23/12/2023,"0,43"
24/12/2023,"0,39"
25/12/2023,"0,39"
26/12/2023,"0,35"
27/12/2023,"0,34"
28/12/2023,"0,32"
29/12/2023,"0,32"
30/12/2023,"0,32"
31/12/2023,"0,31"